8118,タラの牛だしあん,●,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,,●,9
3934,豚バラ肉の豆乳ソースがけ,●,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,●,,9
3900,エビカツ,●,●,●,,,●,,,,●,,,,,,,,,,,,,●,,,,,,●,7
3892,鶏のから揚げ,●,●,●,,,,,,,,,,,,,●,,,,,,,●,,,,,,,5
3898,すき焼き風煮,●,●,●,,,,,,,,,,,,,●,●,,,,,,●,,,,,●,●,8
3902,鶏肉のタンドリー風焼き,,●,●,,,,,,,,,,,,,●,,,,,,,●,,,,,,,4
3899,トマトソースのチーズハンバーグ,●,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,●,●,10
3929,カレイのねぎ塩焼き,,●,●,,,,,,,,,,●,,,●,●,,,,,,●,,,,,●,,7
3931,タラのみぞれかけ,●,●,●,,,●,●,,,,,,,,●,●,●,,,,,,●,,,,,●,,10
3893,和風カツの卵とじ,●,●,●,,,,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,9
1321,みそカツ,●,●,●,,,,,,,,,,,,,●,●,,,●,,,●,,,,,●,●,9
3930,豚肉のタッカルビ風,●,●,●,,,,,,,,,,,,,●,●,,,,,,●,,,,,●,●,8
3927,焼きサバの梅ソースがけ,●,●,●,,,,,,,,,,●,,,,,,,,,,●,,,,,●,●,7
8097,赤魚の紅生姜あんかけ,●,●,●,,,,●,,,,,,,,,,,,,,,,●,,,,,●,●,7
8116,豆腐ハンバーグ麻婆ソース,●,●,●,,,,●,,,,,,,,●,●,●,,,,,,●,,,,,●,●,10
8087,カレイのバターポン酢きのこあん,●,●,●,,,,,,,,,,●,,,●,,,,,,,●,,,,,●,●,8
8083,広東風かに玉,●,●,●,,,,●,,,,,,,,●,●,●,,,,,,●,,,,,●,●,10
8105,メバルの幽庵焼き,,●,●,,,,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,8
8111,ハンバーグ玉葱ソース,●,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,,,8
8107,牛肉のチャプチェ,●,●,●,,,,,,,,,,,●,●,,,,,●,,,●,,,,,●,,8
8113,豚しゃぶ柚子おろしだれ,,●,●,,,,,,,,,,●,,,●,●,,,,,,●,,,,,●,●,8
8109,サワラの洋風焼き,,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,●,,8
8104,豚肉の生姜焼き,●,●,●,,,,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,9
1015,赤魚の煮付け,●,●,●,,,,,,,,,,,,,●,●,,,●,,●,●,,,,,●,●,10
1059,チキンカツの梅マヨソース,●,●,●,,,,,,,,,,,,,●,,,,,,,●,,,,,●,●,7
1109,肉じゃが,●,●,●,,,,,,,,,,,,,●,●,,,,,,●,,,,,●,●,8
3937,鶏肉のスイートチリソース,,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,●,●,9
1233,あんかけちゃんぽん風,●,●,●,,,●,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,10
1028,白身魚のすりおろし野菜ソース,●,●,●,,●,,,,,,,,,,,●,,,,●,,,●,,,,,,●,8
1336,肉豆腐,●,●,●,,,,,,,,,,,,,,●,,,,,,●,,,,,●,●,7
1207,親子煮,●,●,●,,,,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,9
8110,鶏肉の香味ソース,●,●,●,,,,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,9
3890,酢豚,●,●,●,,,,●,,,,,,,,,●,●,,,,,,●,,,,,●,●,9
3912,牛ごぼうのしぐれ煮,●,●,●,,,,●,,,,,,,,●,,,,,,,,●,,,,,●,●,8
3884,チキン南蛮宮崎風,●,●,●,,,,,,,,,,,,,●,,,,,,,●,,,,,,●,6
3932,照りマヨチキン,●,●,●,,,,,,,,,,,,,●,●,,,,,,●,,,,,●,●,8
3885,ハンバーグ和風あんかけ,●,●,●,,●,,,,,,,,,,●,●,●,,,●,,,●,,,,,,●,10
3908,白身魚の葱ソース,●,●,●,,,,,,,,,,,,,●,●,,,,,,●,,,,,●,●,8
3936,八宝菜,,●,●,,,●,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,9
3887,たらフライのタルタルソース,●,●,●,,,,,,,,,,,,,●,●,,,●,,●,●,,,,,,●,9
3920,ハンバーグデミグラスソース,●,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,,,8
3939,鶏天中華たれ,●,●,●,,,,●,,,,,,,,●,●,●,●,,●,,,●,,,,,●,●,12
3882,カレー,●,●,●,,,,,,,,,,,,,●,●,,,●,,●,●,,,,,,●,9
8115,豚肉のハニーマスタードソース,●,●,●,,,,,,,,,,,,,●,●,,,●,,,●,,,,,,,7
1235,ソースメンチカツ,,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,●,,8
3938,サバのカレーマヨ焼き,●,●,●,,,,,,,,,,●,,,●,●,,,,,,●,,,,,●,●,9
8090,さっぱりトマトのポークソテー,●,●,●,,,,,,,,,,,,,●,●,,,●,,,●,,,,,,●,8
1048,ヤンニョムチーズチキン,,●,●,,,,,,,,,,,●,,●,●,,,●,,,●,,,,,●,,8
1143,たらのムニエルホワイトソース,,●,●,,,,,,,,,,,,●,●,●,,,,,,●,,,,,,,6
1046,豆腐ハンバーグ和風きのこソース,●,●,●,,,,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,9
8114,牛肉のスタミナ炒め,,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,●,●,9
8100,白身魚のパイタン鍋風,,●,●,,,,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,8
1202,ビーフカツ,●,●,●,,,,●,,,,,,,,●,●,●,,,●,,,●,,,,,,,9
8117,クリームコロッケオーロラソース,●,●,●,,,,●,,,,,,,,,●,,,,,,,●,,,,,,●,7
1014,ニンニク香る鮭のバター醤油焼き,,●,●,,,,,,,,,●,,,,●,●,,,●,●,,●,,,,,●,●,10
8092,鶏つくねのやみつき味噌だれ,●,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,●,●,10
